hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,rating_value,review_count,page_index,in_destination_html,match_type
0581,581,Hôtel Mercure Orléans Centre Bords de Loire,MER,MERCURE,ORLEANS,France,"44, quai Barentin",45000,https://all.accor.com/hotel/0581/index.fr.shtml,catalog_api,france,HOTEL MERCURE ORLEANS CENTRE BORDS DE LOIRE,ORLEANS,4.3,1079,22.0,True,missing
A0X8,A0X8,ibis Styles Rouen Centre Cathédrale,IBS,IBIS STYLES,ROUEN,France,9 Place De La Republique,76000,https://all.accor.com/hotel/A0X8/index.fr.shtml,catalog_api,france,IBIS STYLES ROUEN CENTRE CATHEDRALE,ROUEN,,,,False,missing
0396,396,Novotel Amiens Pôle Jules Verne,NOV,NOVOTEL,BOVES,France,7 rue des Indes Noires,80440,https://all.accor.com/hotel/0396/index.fr.shtml,catalog_api,france,NOVOTEL AMIENS POLE JULES VERNE,BOVES,,,,False,missing
B919,B919,Novotel Rouen Centre Cathédrale,NOV,NOVOTEL,ROUEN,France,10 Quai de la Bourse,76000,https://all.accor.com/hotel/B919/index.fr.shtml,catalog_api,france,NOVOTEL ROUEN CENTRE CATHEDRALE,ROUEN,,,,False,missing
B7M1,B7M1,Aparthotel Adagio Access Rouen Centre Cathédrale,ADA,ADAGIO ACCESS,ROUEN,France,2 Rue du Docteur Robert Rambert,76000,https://all.accor.com/hotel/B7M1/index.fr.shtml,catalog_api,france,APARTHOTEL ADAGIO ACCESS ROUEN CENTRE CATHEDRALE,ROUEN,,,,False,missing
B6G1,B6G1,ibis Styles Rouen Centre Rive Gauche,IBS,IBIS STYLES,ROUEN,France,55 Avenue De La Liberation,76100,https://all.accor.com/hotel/B6G1/index.fr.shtml,catalog_api,france,IBIS STYLES ROUEN CENTRE RIVE GAUCHE,ROUEN,,,,False,missing
B6G2,B6G2,ibis Budget Rouen Centre Rive Gauche,IBB,IBIS BUDGET,ROUEN,France,55 Avenue De La Liberation,76100,https://all.accor.com/hotel/B6G2/index.fr.shtml,catalog_api,france,IBIS BUDGET ROUEN CENTRE RIVE GAUCHE,ROUEN,,,,False,missing
C0I0,C0I0,Ibis Rouen Centre Rive Gauche Mermoz,IBH,IBIS,ROUEN,France,13 rue de la Motte,76100,https://all.accor.com/hotel/C0I0/index.fr.shtml,catalog_api,france,IBIS ROUEN CENTRE RIVE GAUCHE MERMOZ,ROUEN,,,,False,missing
B9K3,B9K3,ibis Rouen Centre Rive Droite Pasteur,IBH,IBIS,ROUEN,France,7 rue Montaigne,76000,https://all.accor.com/hotel/B9K3/index.fr.shtml,catalog_api,france,IBIS ROUEN CENTRE RIVE DROITE PASTEUR,ROUEN,,,,False,missing
C5H7,C5H7,ibis Styles Amiens Sud,IBS,IBIS STYLES,AMIENS,France,73 Av Valery Giscard d'Estaing,80000,https://all.accor.com/hotel/C5H7/index.fr.shtml,catalog_api,france,IBIS STYLES AMIENS SUD,AMIENS,,,,False,missing
C5P6,C5P6,You Hotel Amiens - Handwritten Collection,SOU,SOU,AMIENS,France,5 rue Marie Denizard,80000,https://all.accor.com/hotel/C5P6/index.fr.shtml,catalog_api,france,YOU HOTEL AMIENS HANDWRITTEN COLLECTION,AMIENS,,,,False,missing
B5R0,B5R0,ibis Styles Amiens Centre,IBS,IBIS STYLES,AMIENS,France,"5 Passage Auguste Perret, Parking  sur réservation, Parking : Rue Fatton",80000,https://all.accor.com/hotel/B5R0/index.fr.shtml,catalog_api,france,IBIS STYLES AMIENS CENTRE,AMIENS,,,,False,missing
A3P0,A3P0,ibis budget Amiens Centre Gare,IBB,IBIS BUDGET,AMIENS,France,15 Rue Dejean,80000,https://all.accor.com/hotel/A3P0/index.fr.shtml,catalog_api,france,IBIS BUDGET AMIENS CENTRE GARE,AMIENS,,,,False,missing
0852,852,ibis Épernay Centre-Ville,IBH,IBIS,EPERNAY,France,"19 rue Chocatelle, Place Bernard Stasi",51200,https://all.accor.com/hotel/0852/index.fr.shtml,catalog_api,france,IBIS EPERNAY CENTRE VILLE,EPERNAY,,,,False,missing
B1F0,B1F0,Hôtel Mercure Orléans Portes de Sologne,MER,MERCURE,ARDON ORLEANS,France,"200 Allée des Quatre Vents, Domaine de Limère",45160,https://all.accor.com/hotel/B1F0/index.fr.shtml,catalog_api,france,HOTEL MERCURE ORLEANS PORTES DE SOLOGNE,ARDON ORLEANS,4.4,1567,20.0,True,missing
