hotel_id,recap_column,row,etape,sous_etape,data_label,field_key,field_type_hint,raw_value,feature_column
ibis-budget-nice,NICE,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,06200,d_recap_0_page_de_connexion_localisation_geo_code_postal
ibis-budget-strasbourg,STRASBOURG,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,67000,d_recap_0_page_de_connexion_localisation_geo_code_postal
ibis-styles-roissy-cdg,PARIS CDG,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,95700,d_recap_0_page_de_connexion_localisation_geo_code_postal
novotel-megeve,MEGEVE,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,74120,d_recap_0_page_de_connexion_localisation_geo_code_postal
novotel-paris-tour-eiffel,TOUR EIFFEL,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,75015,d_recap_0_page_de_connexion_localisation_geo_code_postal
mercure-montmartre,MONTMARTRE,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,75018,d_recap_0_page_de_connexion_localisation_geo_code_postal
mercure-boulogne,BOULOGNE,9,0 - PAGE DE CONNEXION,LOCALISATION GEO,CODE POSTAL,0_page_de_connexion_localisation_geo_code_postal,categorical,92100,d_recap_0_page_de_connexion_localisation_geo_code_postal
ibis-budget-nice,NICE,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,NICE,d_recap_0_page_de_connexion_localisation_geo_ville
ibis-budget-strasbourg,STRASBOURG,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,STRASBOURG,d_recap_0_page_de_connexion_localisation_geo_ville
ibis-styles-roissy-cdg,PARIS CDG,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,ROISSY,d_recap_0_page_de_connexion_localisation_geo_ville
novotel-megeve,MEGEVE,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,MEGEVE,d_recap_0_page_de_connexion_localisation_geo_ville
novotel-paris-tour-eiffel,TOUR EIFFEL,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,PARIS,d_recap_0_page_de_connexion_localisation_geo_ville
mercure-montmartre,MONTMARTRE,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,PARIS,d_recap_0_page_de_connexion_localisation_geo_ville
mercure-boulogne,BOULOGNE,10,0 - PAGE DE CONNEXION,LOCALISATION GEO,VILLE,0_page_de_connexion_localisation_geo_ville,categorical,BOULOGNE-BILLANCOURT,d_recap_0_page_de_connexion_localisation_geo_ville
ibis-budget-nice,NICE,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,7.240512,d_recap_0_page_de_connexion_localisation_geo_longitude
ibis-budget-strasbourg,STRASBOURG,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,7.754599,d_recap_0_page_de_connexion_localisation_geo_longitude
ibis-styles-roissy-cdg,PARIS CDG,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,2.519843,d_recap_0_page_de_connexion_localisation_geo_longitude
novotel-megeve,MEGEVE,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,6.6190552711,d_recap_0_page_de_connexion_localisation_geo_longitude
novotel-paris-tour-eiffel,TOUR EIFFEL,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,2.282836,d_recap_0_page_de_connexion_localisation_geo_longitude
mercure-montmartre,MONTMARTRE,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,2.329923,d_recap_0_page_de_connexion_localisation_geo_longitude
mercure-boulogne,BOULOGNE,11,0 - PAGE DE CONNEXION,LOCALISATION GEO,LONGITUDE,0_page_de_connexion_localisation_geo_longitude,numeric,2.256274,d_recap_0_page_de_connexion_localisation_geo_longitude
ibis-budget-nice,NICE,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,43.689186,d_recap_0_page_de_connexion_localisation_geo_latitude
ibis-budget-strasbourg,STRASBOURG,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,48.591522,d_recap_0_page_de_connexion_localisation_geo_latitude
ibis-styles-roissy-cdg,PARIS CDG,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,49.006733,d_recap_0_page_de_connexion_localisation_geo_latitude
novotel-megeve,MEGEVE,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,45.8591651916,d_recap_0_page_de_connexion_localisation_geo_latitude
novotel-paris-tour-eiffel,TOUR EIFFEL,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,48.849778,d_recap_0_page_de_connexion_localisation_geo_latitude
mercure-montmartre,MONTMARTRE,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,48.885048,d_recap_0_page_de_connexion_localisation_geo_latitude
mercure-boulogne,BOULOGNE,12,0 - PAGE DE CONNEXION,LOCALISATION GEO,LATITUDE,0_page_de_connexion_localisation_geo_latitude,numeric,48.833827,d_recap_0_page_de_connexion_localisation_geo_latitude
ibis-budget-nice,NICE,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,IBIS BUDGET,d_recap_generales_donnees_admin_marque
ibis-budget-strasbourg,STRASBOURG,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,IBIS BUDGET,d_recap_generales_donnees_admin_marque
ibis-styles-roissy-cdg,PARIS CDG,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,IBIS STYLES,d_recap_generales_donnees_admin_marque
novotel-megeve,MEGEVE,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,NOVOTEL,d_recap_generales_donnees_admin_marque
novotel-paris-tour-eiffel,TOUR EIFFEL,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,NOVOTEL,d_recap_generales_donnees_admin_marque
mercure-montmartre,MONTMARTRE,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,MERCURE,d_recap_generales_donnees_admin_marque
mercure-boulogne,BOULOGNE,13,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,MARQUE,1_informations_generales_donnees_admin_marque,categorical,MERCURE,d_recap_generales_donnees_admin_marque
ibis-budget-nice,NICE,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,129.0,d_recap_generales_donnees_admin_nb_de_chambres
