hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,url_hotel,source_query,hotel_name_norm,city_norm,match_type
0440,440,Novotel Le Mans,NOV,NOVOTEL,LE MANS,France,https://all.accor.com/hotel/0440/index.fr.shtml,france,NOVOTEL LE MANS,LE MANS,missing
0704,704,ibis Le Mans Est Pontlieue,IBH,IBIS,LE MANS,France,https://all.accor.com/hotel/0704/index.fr.shtml,france,IBIS LE MANS EST PONTLIEUE,LE MANS,missing
A9P2,A9P2,Ibis le Mans Centre Gare Nord,IBH,IBIS,LE MANS,France,https://all.accor.com/hotel/A9P2/index.fr.shtml,france,IBIS LE MANS CENTRE GARE NORD,LE MANS,missing
C1U8,C1U8,TRIBE Cabourg (Ouverture Mars 2027),TRI,TRIBE,CABOURG,France,https://all.accor.com/hotel/C1U8/index.fr.shtml,france,TRIBE CABOURG OUVERTURE MARS 2027,CABOURG,missing
B8Q0,B8Q0,ibis Bethune Centre Gare,IBH,IBIS,BETHUNE,France,https://all.accor.com/hotel/B8Q0/index.fr.shtml,france,IBIS BETHUNE CENTRE GARE,BETHUNE,missing
0344,344,Mercure Le Mans Batignolles - Hôtel & Spa,MER,MERCURE,LE MANS,France,https://all.accor.com/hotel/0344/index.fr.shtml,france,MERCURE LE MANS BATIGNOLLES HOTEL SPA,LE MANS,missing
B3A0,B3A0,ibis budget Le Mans Université,IBB,IBIS BUDGET,LE MANS,France,https://all.accor.com/hotel/B3A0/index.fr.shtml,france,IBIS BUDGET LE MANS UNIVERSITE,LE MANS,missing
B6A1,B6A1,ibis Styles Valenciennes Petite Forêt,IBS,IBIS STYLES,PETITE FORET,France,https://all.accor.com/hotel/B6A1/index.fr.shtml,france,IBIS STYLES VALENCIENNES PETITE FORET,PETITE FORET,missing
A8Q1,A8Q1,ibis Styles Le Mans Sud Mulsanne,IBS,IBIS STYLES,MULSANNE,France,https://all.accor.com/hotel/A8Q1/index.fr.shtml,france,IBIS STYLES LE MANS SUD MULSANNE,MULSANNE,missing
0908,908,ibis Amboise,IBH,IBIS,AMBOISE,France,https://all.accor.com/hotel/0908/index.fr.shtml,france,IBIS AMBOISE,AMBOISE,missing
0395,395,Novotel Amboise,NOV,NOVOTEL,AMBOISE,France,https://all.accor.com/hotel/0395/index.fr.shtml,france,NOVOTEL AMBOISE,AMBOISE,missing
B6E3,B6E3,Mercure Le Touquet,MER,MERCURE,LE TOUQUET,France,https://all.accor.com/hotel/B6E3/index.fr.shtml,france,MERCURE LE TOUQUET,LE TOUQUET,missing
B6E2,B6E2,ibis Styles Le Touquet,IBS,IBIS STYLES,LE TOUQUET,France,https://all.accor.com/hotel/B6E2/index.fr.shtml,france,IBIS STYLES LE TOUQUET,LE TOUQUET,missing
B8Z4,B8Z4,TRIBE  Le Touquet,TRI,TRIBE,LE TOUQUET,France,https://all.accor.com/hotel/B8Z4/index.fr.shtml,france,TRIBE LE TOUQUET,LE TOUQUET,missing
0668,668,ibis Le Touquet Thalassa,IBH,IBIS,LE TOUQUET,France,https://all.accor.com/hotel/0668/index.fr.shtml,france,IBIS LE TOUQUET THALASSA,LE TOUQUET,missing
0449,449,Novotel Thalassa Le Touquet,NOV,NOVOTEL,LE TOUQUET,France,https://all.accor.com/hotel/0449/index.fr.shtml,france,NOVOTEL THALASSA LE TOUQUET,LE TOUQUET,missing
0819,819,ibis Bourges,IBH,IBIS,BOURGES,France,https://all.accor.com/hotel/0819/index.fr.shtml,france,IBIS BOURGES,BOURGES,missing
0364,364,ibis Charleville-Mézières,IBH,IBIS,VILLERS-SEMEUSE,France,https://all.accor.com/hotel/0364/index.fr.shtml,france,IBIS CHARLEVILLE MEZIERES,VILLERS SEMEUSE,missing
0427,427,Novotel Lille Aéroport,NOV,NOVOTEL,LESQUIN,France,https://all.accor.com/hotel/0427/index.fr.shtml,france,NOVOTEL LILLE AEROPORT,LESQUIN,missing
1572,1572,Hôtel Mercure Tours Nord,MER,MERCURE,TOURS,France,https://all.accor.com/hotel/1572/index.fr.shtml,france,HOTEL MERCURE TOURS NORD,TOURS,missing
0605,605,ibis Caen Porte d'Angleterre,IBH,IBIS,HEROUVILLE SAINT CLAIR,France,https://all.accor.com/hotel/0605/index.fr.shtml,france,IBIS CAEN PORTE D ANGLETERRE,HEROUVILLE SAINT CLAIR,missing
0684,684,ibis Tours Nord,IBH,IBIS,TOURS,France,https://all.accor.com/hotel/0684/index.fr.shtml,france,IBIS TOURS NORD,TOURS,missing
0869,869,Hôtel Mercure Caen Centre Port de Plaisance,MER,MERCURE,CAEN,France,https://all.accor.com/hotel/0869/index.fr.shtml,france,HOTEL MERCURE CAEN CENTRE PORT DE PLAISANCE,CAEN,missing
B3A7,B3A7,hotelF1 Bourges Le Subdray,HOF,HOTELF1,LE SUBDRAY,France,https://all.accor.com/hotel/B3A7/index.fr.shtml,france,HOTELF1 BOURGES LE SUBDRAY,LE SUBDRAY,missing
0405,405,Novotel Caen Côte de Nacre,NOV,NOVOTEL,CAEN,France,https://all.accor.com/hotel/0405/index.fr.shtml,france,NOVOTEL CAEN COTE DE NACRE,CAEN,missing
A0W9,A0W9,Aparthotel Adagio Lille Centre Grand Place,ADG,ADAGIO,LILLE,France,https://all.accor.com/hotel/A0W9/index.fr.shtml,france,APARTHOTEL ADAGIO LILLE CENTRE GRAND PLACE,LILLE,missing
0901,901,Hôtel Ibis Lille Centre Gares,IBH,IBIS,LILLE,France,https://all.accor.com/hotel/0901/index.fr.shtml,france,HOTEL IBIS LILLE CENTRE GARES,LILLE,missing
A312,A312,Novotel Tours Centre Gare,NOV,NOVOTEL,TOURS,France,https://all.accor.com/hotel/A312/index.fr.shtml,france,NOVOTEL TOURS CENTRE GARE,TOURS,missing
0918,918,Novotel Lille Centre Grand-Place,NOV,NOVOTEL,LILLE,France,https://all.accor.com/hotel/0918/index.fr.shtml,france,NOVOTEL LILLE CENTRE GRAND PLACE,LILLE,missing
B943,B943,greet hotel Lille Gare Flandres,GRE,GREET,LILLE,France,https://all.accor.com/hotel/B943/index.fr.shtml,france,GREET HOTEL LILLE GARE FLANDRES,LILLE,missing
0902,902,ibis Lille Centre Grand-Place,IBH,IBIS,LILLE,France,https://all.accor.com/hotel/0902/index.fr.shtml,france,IBIS LILLE CENTRE GRAND PLACE,LILLE,missing
0802,802,Hôtel Mercure Lille Centre Grand-Place,MER,MERCURE,LILLE,France,https://all.accor.com/hotel/0802/index.fr.shtml,france,HOTEL MERCURE LILLE CENTRE GRAND PLACE,LILLE,missing
B1C1,B1C1,Mama Shelter Lille,MSH,MAMA SHELTER,LILLE,France,https://all.accor.com/hotel/B1C1/index.fr.shtml,france,MAMA SHELTER LILLE,LILLE,missing
B736,B736,ibis Tours Centre Giraudeau,IBH,IBIS,TOURS,France,https://all.accor.com/hotel/B736/index.fr.shtml,france,IBIS TOURS CENTRE GIRAUDEAU,TOURS,missing
C2M8,C2M8,ibis Styles Lille Villeneuve d'Ascq,IBS,IBIS STYLES,VILLENEUVE D ASCQ,France,https://all.accor.com/hotel/C2M8/index.fr.shtml,france,IBIS STYLES LILLE VILLENEUVE D ASCQ,VILLENEUVE D ASCQ,missing
0643,643,ibis Tours Sud,IBH,IBIS,CHAMBRAY LES TOURS,France,https://all.accor.com/hotel/0643/index.fr.shtml,france,IBIS TOURS SUD,CHAMBRAY LES TOURS,missing
C0W0,C0W0,ibis budget Tours Sud,IBB,IBIS BUDGET,CHAMBRAY LES TOURS,France,https://all.accor.com/hotel/C0W0/index.fr.shtml,france,IBIS BUDGET TOURS SUD,CHAMBRAY LES TOURS,missing
0453,453,ibis Styles Tours Sud,IBS,IBIS STYLES,CHAMBRAY LES TOURS,France,https://all.accor.com/hotel/0453/index.fr.shtml,france,IBIS STYLES TOURS SUD,CHAMBRAY LES TOURS,missing
A3N4,A3N4,ibis budget Lille Marcq-en-Baroeul,IBB,IBIS BUDGET,MARCQ EN BAROEUL,France,https://all.accor.com/hotel/A3N4/index.fr.shtml,france,IBIS BUDGET LILLE MARCQ EN BAROEUL,MARCQ EN BAROEUL,missing
