hotel_code,hotel_name,hotel_lat,hotel_lon,departement,commune,zone_scolaire,localisation,annee,mois,nb_jours_feries,nb_jours_vacances_scolaires,nb_jours_vacances_hors_feries,nb_jours_dans_mois
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2024,9,0,1,1,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2024,10,0,13,13,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2024,11,2,3,2,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2024,12,2,11,9,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,1,1,5,4,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,2,0,16,16,28
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,3,0,0,0,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,4,2,17,15,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,5,3,3,2,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,6,1,1,1,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,7,1,27,26,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,8,1,31,30,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,9,0,0,0,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,10,0,14,14,31
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,11,2,2,1,30
HB6A3,Ibis budget Strasbourg Centre République,48.591522,7.754599,67,Strasbourg,B,Strasbourg (67),2025,12,2,12,10,31
