nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,1,4,9.6,3,3,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,0,165,396.0,124,17,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,1,44,102.10000000000001,34,10,H2075
Ibis budget Nice,2025,4,N_F_B,#REF!,0,1,12.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,0,8,110.1,7,8,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,1,4,34.0,2,3,H2075
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,0,1,9.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,PAP,0,4,44.0,3,4,H2075
Ibis budget Nice,2025,4,N_F_B,SOS,0,1,14.0,1,1,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,0,14,53.0,9,5,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,1,7,17.5,5,3,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,0,246,574.1,158,18,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,1,104,245.60000000000002,66,16,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,0,13,167.0,13,6,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,0,15,167.0,12,10,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,1,5,40.0,5,5,H2075
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,0,1,18.0,1,1,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,0,2,20.0,2,2,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,1,3,30.0,3,2,H2075
Ibis budget Nice,2025,5,N_F_B,SOS,1,1,14.0,1,1,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,0,22,54.5,16,5,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,1,3,13.0,3,3,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,0,238,557.7,157,18,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,1,144,336.5,85,18,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,0,15,185.0,12,8,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,1,8,110.0,7,3,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,0,21,149.0,17,10,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,1,10,71.0,10,7,H2075
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,0,2,36.0,2,1,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,0,4,43.0,4,4,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,1,5,70.0,7,4,H2075
Ibis budget Nice,2025,6,N_F_B,SOS,0,1,8.0,1,1,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,0,30,91.0,25,9,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,1,12,30.0,9,6,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,0,256,613.3000000000001,181,18,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,1,87,205.3,55,15,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,0,23,293.0,20,12,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,1,10,132.0,6,5,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,0,19,179.0,18,8,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,1,3,23.0,3,3,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,0,1,18.0,1,1,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,1,1,18.0,1,1,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,0,7,68.0,7,4,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,1,2,20.0,2,2,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,0,21,64.0,16,8,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,1,5,19.0,4,4,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,0,258,614.3000000000001,168,18,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,1,111,254.5,63,16,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,0,16,203.0,15,9,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,1,14,157.0,14,9,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,0,25,196.0,19,12,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,1,28,257.0,17,12,H2075
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,1,2,36.0,2,1,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,0,25,69.0,20,8,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,1,10,25.5,9,6,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,0,187,445.40000000000003,132,18,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,1,127,287.7,79,17,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,0,26,349.0,25,11,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,1,6,75.0,6,3,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,0,28,208.0,26,14,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,1,4,24.0,4,3,H2075
Ibis budget Nice,2025,9,N_F_B,PAP,0,2,23.0,2,2,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,0,20,48.5,17,6,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,1,12,43.0,10,6,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,0,191,454.20000000000005,125,18,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,1,62,149.3,43,16,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,0,10,104.0,9,6,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,1,1,12.0,1,1,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,0,15,120.0,12,10,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,1,5,35.0,4,5,H2075
Ibis budget Nice,2025,10,N_F_B,PAP,0,3,30.0,3,2,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,0,12,31.0,9,6,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,1,5,15.0,5,5,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,0,96,224.9,68,18,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,1,77,178.20000000000002,50,16,H2075
Ibis budget Nice,2025,11,NAN,nan,1,3,6.0,2,1,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,1,7,84.0,7,3,H2075
