nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,3,4,9.100000000000001,3,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,4,3,6.2,2,2,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,5,2,4.7,2,2,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,6,2,4.4,2,1,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,7,4,10.4,1,4,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,8,5,11.0,5,1,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,9,4,9.100000000000001,3,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,10,7,16.400000000000002,3,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,11,4,9.8,4,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,12,12,29.0,9,5,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,13,7,14.8,6,4,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,14,8,17.5,7,4,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,15,5,11.3,5,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,16,8,19.700000000000003,7,6,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,17,9,20.700000000000003,6,6,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,18,13,30.0,7,9,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,19,15,34.4,11,6,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,20,4,9.8,4,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,21,8,20.0,7,7,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,22,11,24.400000000000002,9,5,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,23,27,63.900000000000006,17,10,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,0,1,13.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,9,2,15.1,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,10,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,11,2,30.0,2,1,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,12,2,21.0,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,13,2,30.0,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,14,2,11.0,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,15,2,35.0,2,2,H2075
