HOTEL_NAME,HOTEL_CITY,HOTEL_LAT,HOTEL_LON,RAYON_KM,OSM_TYPE,OSM_ID,NAME,SHOP_TYPE,BRAND,ADDRESS_STREET,ADDRESS_POSTCODE,ADDRESS_CITY,LAT,LON,DIST_KM
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13703291525,Chanel,cosmetics,,,,,43.6594487,7.2064412,1.1027916802344038
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13703291526,Fragonard,cosmetics,,,,,43.6592624,7.2060227,1.1391822857390248
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13703291531,Relay,convenience,,,,,43.6589441,7.2057411,1.1811420645280488
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13720253023,Du Soleil,bakery,,,,,43.6704408,7.2218183,0.6831867096548985
Ibis budget Nice,Nice,43.6675713,7.2143076,2,way,63432232,Intermarché,supermarket,Intermarché,,,,43.6677929,7.1932951,1.6902905889631061
Ibis budget Nice,Nice,43.6675713,7.2143076,2,way,143789625,Lidl,supermarket,Lidl,Route de Grenoble,,Nice,43.6787795,7.2018385,1.5996702190464687
Ibis budget Nice,Nice,43.6675713,7.2143076,2,way,1137933054,Au Moulin Nicois,bakery,,Avenue Martin Luther King,,,43.6746335,7.2043012,1.1244451354936442
Ibis budget Nice,Nice,43.6675713,7.2143076,2,way,1337231909,Presse,kiosk,,,,,43.6692175,7.211457,0.29338861657170945
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,25213936,Dyneff,convenience,Dyneff,Boulevard Léon Morane,06200,,43.6636803,7.2016044,1.109624970650928
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,303595830,Intermarché,supermarket,Intermarché,Boulevard René Cassin,,,43.675186,7.2269224,1.321485309566247
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,708213952,La Laurentine,bakery,,,,,43.6701392,7.1912826,1.8738305097928087
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,708213956,Boulangerie Épi,bakery,,Corniche Fahnestock,,,43.6754586,7.1883837,2.2619645234760046
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,1014323371,Carrefour City,convenience,Carrefour City,,,,43.6699649,7.2211484,0.6112130405715787
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,1445374662,Carrefour City,convenience,Carrefour City,,,,43.6872516,7.2372598,2.862858235568097
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,1633608918,Relais Sainte-Marguerite,convenience,Total Access,Boulevard du Mercantour,,Nice,43.6875595,7.1973665,2.606923343915045
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2120506137,Aux Délices de Jeanne d'Arc,bakery,,Boulevard Napoléon III,,Nice,43.6810661,7.2213471,1.6038035037596754
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2120508607,Les Délices de la Lanterne,bakery,,Avenue de la Lanterne,,Nice,43.6845501,7.2191176,1.9271787999981713
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2120553623,Épicerie Napoléon III,convenience,,Boulevard Napoléon III,,Nice,43.6811443,7.2213816,1.6129185520244969
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2120553752,Boulangerie Patisserie de Caucade,bakery,,Avenue Sainte-Marguerite,,Nice,43.6781055,7.2192273,1.2363732128319123
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2128870332,Le Chantilly,tobacco,,Avenue Sainte-Marguerite,,Nice,43.6780949,7.2193698,1.2389752782148504
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2138749499,Carrefour Market,supermarket,Carrefour Market,,,,43.6785983,7.2288429,1.6941209446745509
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2139423715,Multari,bakery,,,,,43.6803697,7.2299939,1.9017964490316277
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2146749669,L'Épi D'Or,bakery,,,,,43.6790639,7.2282096,1.697994649234522
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2152315038,Le Genois,kiosk,,,,,43.6762584,7.224809,1.2831369779256148
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2169041274,Total Grand Soleil,convenience,Total,Boulevard Napoléon III,,Nice,43.6859466,7.2260196,2.2498884381116517
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2178595957,California Press,kiosk,,,,,43.6800974,7.229731,1.865119927697093
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2199959954,Moulin de Flor,bakery,,,,,43.6871153,7.237146,2.8453752289186216
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2206375562,NVER,gift,,,,,43.6807976,7.2303546,1.9566662617311603
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2214889263,Eric Kayser,bakery,Eric Kayser,,,,43.680935,7.2304834,1.9749826245118307
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2229345756,La Princesse,bakery,,,,,43.6758748,7.2243942,1.229071802339587
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2249047650,Tabac Californie,tobacco,,Avenue de la Californie,,Nice,43.681098,7.2312091,2.0273155824985927
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2249047979,Spar,convenience,Spar,,,,43.6813802,7.2308993,2.0342726340214714
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2262896993,Aux Délices de Carras,bakery,,,,,43.6810436,7.2311521,2.019754568554468
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2279766617,Boulangerie des Trois Vallées,bakery,,Chemin de la Madonette de Terron,,Nice,43.6901098,7.2270079,2.7062907257623223
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2281078573,Libre Service des 3 Vallées,convenience,,Chemin de la Madonette de Terron,,,43.6899813,7.2270866,2.695471206775103
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2290772713,Vival,convenience,,,,,43.6860186,7.2358013,2.6824441627110702
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2455200422,Carrefour City,convenience,Carrefour City,Boulevard Napoléon III,,Nice,43.6863153,7.2257586,2.2786200070045837
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,2540327296,Napoléon III,bakery,,Boulevard Napoléon III,,Nice,43.6851484,7.2249785,2.134589655571518
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,3705501658,,bakery,,Avenue du Général de Gaulle,,,43.6625593,7.1939985,1.7260530752782912
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,3774181799,KIKO Milano,cosmetics,KIKO Milano,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6586005,7.1978213,1.6594292454836144
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,4202610011,Boulangerie de la Mer,bakery,,Boulevard René Cassin,,,43.6736372,7.2256997,1.1377541318797788
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,5325463321,Epicerie Proxi Caucade Sainte-Marguerite,convenience,,Avenue Sainte-Marguerite,06200,Nice,43.6787075,7.2104756,1.2760653395779458
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,5398826537,Les Délices du Port,bakery,,,,,43.6571732,7.1835591,2.730329182331648
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,5612149321,Proxi,convenience,Proxi,Corniche Fleurie,06200,Nice,43.6816469,7.2155109,1.5681243113454886
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,5765873826,Najar,bakery,,Boulevard Paul Montel,,Nice,43.6747986,7.2078212,0.9581234082527675
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,6284548547,La Boulange,bakery,,Avenue Pierre Amadieu,06700,Saint-Laurent-du-Var,43.6660032,7.1864346,2.248729337602948
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,6750694749,Carrefour Contact,supermarket,Carrefour Contact,Avenue Jean Aicard,06700,Saint-Laurent-du-Var,43.6830244,7.1875052,2.7566154672810783
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,6779446962,Sephora,cosmetics,Sephora,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.659361,7.1975222,1.6298833013944565
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,6779446966,The Body Shop,cosmetics,The Body Shop,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6589995,7.1970394,1.684613803204569
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,7009163736,Monoprix,supermarket,Monoprix,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.658729,7.198064,1.6352372647579128
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,7561769985,Brioche Dorée,bakery,Brioche Dorée,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6592548,7.1974536,1.6410836877709425
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,8561274466,Le Casino de l'Empereur,supermarket,,,,,43.666511,7.187032,2.197063749265116
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,9236758012,Tlp,tobacco,,Avenue de Fabron,,Nice,43.6908961,7.2136073,2.594210777864419
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,9236758013,Leonis,bakery,,Avenue de Fabron,06200,Nice,43.6909492,7.2136742,2.600002876545544
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,9236758014,Vival,convenience,Vival,Avenue de Fabron,,Nice,43.6908229,7.21348,2.5863164211995775
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,9327299365,Sanifix,supermarket,,Rue Auguste Pégurier,06200,Nice,43.6723197,7.2215342,0.7852523524029044
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,9346449361,First Robinetterie Saint Laurent du Var,supermarket,,Allée des Imprimeurs,06700,Saint-Laurent-du-Var,43.6836972,7.1865217,2.865103226120031
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,10091983349,Casino Shop,convenience,Casino Shop,Avenue Simone Veil,,,43.6830284,7.2034344,1.9284151306345128
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,10599913492,Carrefour Market,supermarket,Carrefour Market,Avenue Martin Luther King,,Nice,43.6751115,7.2066517,1.0402505620813494
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,10740470757,Épicerie Jeannette,convenience,,Avenue de la Méditerranée,,,43.6766959,7.203687,1.3263000977473172
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,11766013019,JB Tabacco,tobacco,,Place des Amaryllis,,,43.6751974,7.2051567,1.1228374809893653
