nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,0,50.0,120.80000000000001,34.0,13.0
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,1,39.0,94.0,31.0,13.0
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,0,1.0,10.0,1.0,1.0
Ibis budget Nice,2025,2,N_F_B,PAP,0,1.0,6.0,1.0,1.0
Ibis budget Nice,2025,3,F_B,FOOD SALEE,0,1.0,2.0,1.0,1.0
Ibis budget Nice,2025,3,F_B,FOOD SALEE,1,8.0,17.5,6.0,4.0
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,0,19.0,34.4,14.0,5.0
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,1,4.0,6.6,4.0,3.0
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,0,141.0,340.8,113.0,17.0
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,1,70.0,177.3,57.0,17.0
Ibis budget Nice,2025,3,N_F_B,#REF!,0,0.0,22.0,2.0,0.0
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,0,1.0,15.0,1.0,1.0
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,1,1.0,10.0,1.0,1.0
Ibis budget Nice,2025,4,F_B,FOOD SALEE,0,15.0,37.0,12.0,5.0
Ibis budget Nice,2025,4,F_B,FOOD SALEE,1,5.0,18.5,3.0,4.0
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,0,14.0,30.0,13.0,5.0
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,1,4.0,9.6,3.0,3.0
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,0,165.0,396.0,124.0,17.0
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,1,44.0,102.10000000000001,34.0,10.0
Ibis budget Nice,2025,4,N_F_B,#REF!,0,1.0,12.0,1.0,1.0
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,0,8.0,110.1,7.0,8.0
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,1,4.0,34.0,2.0,3.0
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,0,1.0,9.0,1.0,1.0
Ibis budget Nice,2025,4,N_F_B,PAP,0,4.0,44.0,3.0,4.0
Ibis budget Nice,2025,4,N_F_B,SOS,0,1.0,14.0,1.0,1.0
Ibis budget Nice,2025,5,F_B,FOOD SALEE,0,14.0,53.0,9.0,5.0
Ibis budget Nice,2025,5,F_B,FOOD SALEE,1,7.0,17.5,5.0,3.0
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,0,246.0,574.1,158.0,18.0
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,1,104.0,245.60000000000002,66.0,16.0
Ibis budget Nice,2025,5,N_F_B,#REF!,0,13.0,167.0,13.0,6.0
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,0,15.0,167.0,12.0,10.0
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,1,5.0,40.0,5.0,5.0
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,0,1.0,18.0,1.0,1.0
Ibis budget Nice,2025,5,N_F_B,PAP,0,2.0,20.0,2.0,2.0
Ibis budget Nice,2025,5,N_F_B,PAP,1,3.0,30.0,3.0,2.0
Ibis budget Nice,2025,5,N_F_B,SOS,1,1.0,14.0,1.0,1.0
Ibis budget Nice,2025,6,F_B,FOOD SALEE,0,22.0,54.5,16.0,5.0
Ibis budget Nice,2025,6,F_B,FOOD SALEE,1,3.0,13.0,3.0,3.0
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,0,238.0,557.7,157.0,18.0
