nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Novotel Paris Tour Eiffel,2025,8,N_F_B,COSMETIQUE,2,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,COSMETIQUE,21,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,COSMETIQUE,22,2.0,16.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,COSMETIQUE,23,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,0,42.0,304.0,31.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,1,28.0,230.0,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,2,9.0,59.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,4,3.0,24.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,5,1.0,14.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,6,6.0,30.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,7,5.0,28.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,8,14.0,88.0,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,9,30.0,225.0,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,10,32.0,205.0,22.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,11,11.0,58.0,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,12,11.0,76.0,9.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,13,8.0,90.0,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,14,7.0,56.0,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,15,16.0,150.0,14.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,16,27.0,188.0,17.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,17,17.0,120.0,14.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,18,9.0,60.0,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,19,13.0,132.0,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,20,23.0,188.0,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,21,53.0,401.0,32.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,22,36.0,276.0,30.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,SOS,23,69.0,581.0,55.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,0,57.0,400.2,45.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,1,34.0,241.0,27.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,2,12.0,94.7,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,3,18.0,150.4,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,4,7.0,57.4,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,5,8.0,45.3,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,6,5.0,28.9,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,7,3.0,23.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,9,8.0,55.8,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,10,8.0,56.0,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,11,3.0,23.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,12,8.0,51.0,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,13,19.0,137.0,13.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,14,7.0,63.4,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,15,19.0,111.0,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,16,13.0,60.6,12.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,17,26.0,127.8,18.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,18,22.0,142.8,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,19,29.0,144.8,23.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,20,36.0,261.2,30.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,21,41.0,304.3,35.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,22,42.0,300.6,37.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SALEE,23,79.0,553.7,63.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,0,44.0,145.9,29.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,1,26.0,78.0,17.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,2,15.0,47.9,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,3,20.0,67.0,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,4,6.0,18.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,5,6.0,21.7,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,6,2.0,6.7,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,7,3.0,9.8,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,8,4.0,11.8,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,9,13.0,112.3,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,10,11.0,36.3,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,11,3.0,18.7,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,12,6.0,18.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,13,6.0,19.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,14,17.0,53.8,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,15,17.0,50.9,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,16,17.0,59.8,12.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,17,14.0,41.1,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,18,21.0,72.1,13.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,19,29.0,88.2,18.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,20,20.0,63.6,13.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,21,45.0,142.5,24.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,22,60.0,179.6,32.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,FOOD SUCREE,23,71.0,234.0,38.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,0,166.0,616.7,100.0,0.0,H3546
